location,day_shift,week_day,local_bright,local_noise,battery_level,battery_charging,power_saving,playback,headset,bluetooth,network,screen,orientation,app,volume,bright,ring_mode
P3,9,1,8,2,4,0,0,0,0,0,2,0,1,12,0,38,0
P3,9,1,8,2,4,0,0,0,0,0,2,0,1,12,0,38,0
P3,9,1,8,0,4,0,0,0,0,0,2,1,1,12,0,38,0
P3,9,1,3,0,4,0,0,0,0,0,2,1,1,12,0,38,0
P3,9,1,3,12,4,0,0,0,0,0,2,1,1,12,0,38,0
P3,9,1,3,316,4,0,0,0,0,0,2,1,1,12,0,38,0
P3,9,1,2,10,4,0,0,0,0,0,2,1,1,12,0,38,0
P3,9,1,2,7,4,0,0,0,0,0,2,1,1,12,0,38,0
P3,9,1,2,0,4,0,0,0,0,0,2,1,1,8,0,38,0
P3,9,1,3,0,4,0,0,0,0,0,2,1,1,8,0,38,0
P3,9,1,4,21,4,0,0,0,0,0,2,1,1,8,0,38,0
P3,9,1,4,64,4,0,0,0,0,0,2,1,1,8,0,38,0
P3,9,1,3,8,4,0,0,0,0,0,2,1,1,8,0,38,0
P3,9,1,2,1,4,0,0,0,0,0,2,1,1,8,0,38,0
P3,9,1,2,3,4,0,0,0,0,0,2,1,1,8,0,38,0
P3,9,1,3,0,4,0,0,0,0,0,2,1,1,8,0,38,0
P3,9,1,8,3,4,0,0,0,0,0,2,1,1,8,0,38,0
P3,9,1,5,1,4,0,0,0,0,0,2,1,1,8,0,38,0
P3,9,1,5,2,4,0,0,0,0,0,2,1,1,8,0,38,0
P3,9,1,5,1,4,0,0,0,0,0,2,1,1,8,0,38,0
P3,9,1,1,0,4,0,0,0,0,0,2,1,1,8,0,38,0
P3,9,1,4,1,4,0,0,0,0,0,2,1,1,8,0,38,0
P3,9,1,5,1,4,0,0,0,0,0,2,1,1,8,0,38,0
P3,9,1,4,1,4,0,0,0,0,0,2,1,1,12,0,38,0
P3,9,1,3,4,4,0,0,0,0,0,2,1,1,20,1,38,0
P3,9,1,4,0,4,0,0,0,0,0,2,0,1,20,1,38,0
P3,9,1,5,0,4,0,0,0,0,0,2,1,1,20,0,38,0
